title,company,description,required_skills,category,experience_level,date,channel,message_id
የሥራ ቦታ,policies.**Quanitity Required**: 5**Minimum Years ,"**Sales Officer**#pacific_afr_import_and_export#business#Addis_AbabaBachelor's of Art Degree Marketing or in any related field of study with relevant work experienceGender : Female Applicants OnlyDuties & Responsibilities:- Ability to achieve sales targets.- Implement Customer Follow- up- Maintain good relationships with clients.- Commitment to official working hours and company policies.**Quanitity Required**: 5**Minimum Years Of Experience**: #1_years**Deadline:** March 31, 2026**How To Apply:",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158790
የሥራ ቦታ,financial and accounting transactions.- Prepare in,"**Account Specialist**#pacific_afr_import_and_export#finance#Addis_AbabaBachelor of Art in Accounting, Finance, or in any related field of study with relevant work experienceDuties & Responsibilities:- Record and monitor all company financial and accounting transactions.- Prepare invoices and ensure they match financial data.- Follow up on payments and receivables, and review customer and supplier accounts.- Prepare monthly and annual financial reports.- Assist in preparing budgets and cash flow",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158789
የሥራ ቦታ,pacificafr,**Sales Promoter**#pacific_afr_import_and_export#business#Addis_AbabaBachelor's degree or Diploma (preferred) in any related field of study with relevant work experienceDuties & Responsibilities:- Promote the company's products and increase brand awareness.- Attract customers and explain product features professionally.- Achieve assigned sales targets.- Build and maintain good relationships with customers.- Ensure attractive product display and arrangement.- Prepare regular sales reports.**Quani,ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158788
የሥራ ቦታ,gmail,"**Technical Officer**#bio_safe_trading_plc#engineering#Addis_AbabaBachelor's Degree in Biomedical Engineering, Chemical Engineering, Computer Engineering, Mechanical Engineering or in a related field of study with relevant work experience.Duties & Responsibilities:- Provide administrative and office support- Prepare, draft, and manage documents and correspondence in English- Assist with coordination of daily office activities- Handle phone calls, emails, and inquiries professionally- Support man",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158787
የሥራ ቦታ,hahujobs,"**Ethiopia Chief of Staff (Renewable)**#one_acre_fund#business#Bahir_Dar | #Addis_AbabaBachelor's Degree In Public Relation, Human Resource Management with related field of study with relevant work experience.Duties & Responsibilities:- Manage the People Operations Lead (managing HR admin, Finance admin, compliance, and Corporate Operations), HSS team, and Communication team, ensuring- Clear goals, accountability, and performance management- Strong delivery on core administrative, compliance, an",communication,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158786
የሥራ ቦታ,gmail,"**Technical Officer**#bio_safe_trading_plc#engineering#Addis_AbabaBachelor's Degree in Biomedical Engineering, Chemical Engineering, Computer Engineering, Mechanical Engineering or in a related field of study with relevant work experience.Duties & Responsibilities:- Provide administrative and office support- Prepare, draft, and manage documents and correspondence in English- Assist with coordination of daily office activities- Handle phone calls, emails, and inquiries professionally- Support man",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158785
የሥራ ቦታ,gmail,"**Sales Person**#furniture_village_plc#business#Addis_AbabaBachelor's Degree or Diploma in Marketing Management, Marketing & Salesmanship or with related field of study with relevant work experience.Duties & Responsibilities:- Welcome and assist customers in the showroom and provide product information.- Promote and sell furniture products to meet or exceed sales targets.- Maintain strong customer relationships and ensure customer satisfaction.- Prepare quotations, invoices, and follow up on pay",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158784
የሥራ ቦታ,effhealthcare,"**Biomedical Engineer**#eff#engineering#Addis_AbabaBachelor's Degree In Biomedical Engineering With related field of study with relevant work experience.Duties & Responsibilities:- Deal with suppliers and select appropriate medical equipment for import.- Fill out, prepare, and submit medical equipment tenders accurately and on time.- Provide maintenance and technical support for medical equipment to customers after sale.- Inspect, install, and calibrate medical equipment to ensure proper functio",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158783
የሥራ ቦታ,products/services to prospects in a clear and enga,**Sales and Marketing representative **#ahadu_digital_technologies#business#Addis_AbabaHigh school diploma required; additional education is an advantage with relevant work of experience.Duties & Responsibilities:- Make outbound cold calls daily to potential customers based on targeted leads.- Introduce and explain company products/services to prospects in a clear and engaging manner.- Identify customer needs and recommend the best solutions.- Qualify leads and schedule appointments for the sale,ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158782
የሥራ ቦታ,marmadesteel,**ዳታ ኢንኮደር **#mar_made_steel_trading_plc#ict#Addis_Ababa12ኛ ክፍል ወይም በማንኛውም የትምህርት መስክ ዲፕሎማ ያለው/ላት ተዛማጅ ከሆነ የስራ ልምድ ጋርዋና ሀላፊነቶች- ፕሮፎርማዎችን፣ ደብዳቤዎችን፣ ማስታወሻዎችን (memos)፣ ሪፖርቶችን እና ኢሜይሎችን ጨምሮ ልዩ ልዩ ሰነዶችን በትክክል ማርቀቅ፣ ማዘጋጀት፣ ለተገቢው ቦታ ማቅረብ መመዝገብ እና ማቀነባበር።- ገቢ እና ወጪ ደብዳቤዎችን፣ እንዲሁም የፖስታ እና የፋይል አያያዝ እና አቀራረብ አገልግሎቶችን ማስተዳደር።- ቋሚ እቃ እና ኤሌክትሮኒክስ ፋይሎችን እና መዝገቦችን በስርአት እና ቀልጣፋ በሆነ መንገድ ማደራጀት፣ መያዝ እና መልሶ ማግኘት።- የሁሉም መረጃዎች እና ሚስጥራዊ የሆኑ ጉዳዮች ደህንነትን፣ ትክክለኛነትን እና ሚስጥራዊነትን ማረጋገጥ።- በከፍተኛ ጥንቃቄ እና ትክክለኛነት መረጃዎችን ወደ ሲስ,data,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158781
